,mrna_PLA2G16,mrna_ADAM23,mrna_PLCB2,mrna_DIO2,mrna_ADAMTS10,mrna_SLC43A1,mrna_MAP2K6,mrna_ADI1,mrna_SAT1,mrna_FBP1,mrna_FAHD1,mrna_TRIM41,mrna_WDR89,mrna_AGAP6,mrna_SAP130,mrna_FBXO27,mrna_PSTPIP2,mrna_NID2,mrna_LAT2,mrna_HIST2H2BF,mrna_MAGIX,mrna_EXOSC8,mrna_MTAP,mrna_PACSIN2,mrna_SNRNP25,mrna_ZNF526,mrna_KCTD10,mrna_ANKS6,mrna_SENP3,mrna_WDR36,mrna_VMA21,mrna_GGCT,mrna_FGF7,mrna_EAPP,mrna_TUBG2,mrna_CEP57,mrna_UBA2,mrna_TCP10L,mrna_RS1,mrna_MPPE1,mrna_SAMD4B,mrna_YBX1,mrna_DPPA4,mrna_NUDT5,mrna_DDX21,mrna_IRS4,mrna_NLK,mrna_EXD3,mrna_TMEFF2,mrna_SLC2A3,mrna_LAMB3,mrna_PSMD10,mrna_MAP2K4,mrna_DCAKD,mrna_LRWD1,mrna_ZNF671,mrna_NPC2,mrna_ARHGEF17,mrna_PILRA,mrna_RAB4A,mrna_CNTNAP1,mrna_ERCC1,mrna_MMP25,mrna_ZNF441,mrna_SERPINA5,mrna_GPKOW,mrna_NCOA2,mrna_CPD,mrna_PALM2,mrna_CARD8,mrna_APLN,mrna_TRIM37,mrna_KLHL6,mrna_LHX4,mrna_CNPY2,mrna_PRKG1,mrna_ZNF560,mrna_PBX2,mrna_NOTCH4,mrna_TRO,mrna_DDHD2,mrna_SEC61A1,mrna_CYB5B,mrna_EP300,mrna_PRPF31,mrna_APLNR,mrna_FYTTD1,mrna_RTKN,mrna_ACO2,mrna_ABHD13,mrna_TMEM147,mrna_PDE6A,mrna_DPT,mrna_ZNF598,mrna_CENPW,mrna_ZNF846,mrna_GRPR,mrna_ABCF3,mrna_RNF19B,mrna_SEPT5
TCGA-QH-A6X5-01,11.636353410071209,7.7355776853284155,8.665700453666116,10.498959672662192,8.12024306222048,6.405954930781238,7.232655960588683,10.866920647402281,10.78393811080996,4.961956646784827,9.141073564357189,10.891574421327253,8.183392224071577,7.560004894335191,9.581565353077467,7.484864775101353,5.639295844209177,6.438179720687448,7.923722649504107,4.820230030362341,6.260355043763934,8.584653264972795,8.494304795769516,9.244931048857437,10.176087108548932,6.645597913594607,9.517971476134264,9.687573045316977,10.242715628828822,8.574414148986678,10.991924695719813,9.296377790801143,5.478159656177545,9.779263332359262,10.499914134509204,9.33432893583186,10.667287831122177,5.1794393914534345,3.114616892754066,9.288666320304776,10.709568076912534,12.095779800500639,0.5644269486377939,8.79624536888186,9.574334291955635,2.1216454060456003,9.577050165315466,8.262008845024384,9.888249939396031,7.9350583540129,6.938126973757063,10.663459460351737,9.283132814208528,11.362343967433908,9.153269798260402,7.811345148868246,11.038977751862191,11.741173150623888,6.802362555614666,10.018379356809795,9.455385995571923,9.234383240291953,5.673129544714775,8.08760126968455,2.408603179343371,10.534792128959705,8.535846508573991,10.145307946517242,7.679394239001772,8.849153917214203,10.152609348804994,10.002654144735063,6.356226579661138,1.6706137642217496,10.242031278437068,4.721307031219568,2.1216454060456003,9.957281714122207,9.59234471946089,10.286959673493312,10.380100616877613,12.372395699880762,10.425011603216808,10.828307407243479,9.848368490428209,11.233710741014438,10.052730650488698,11.821053411014171,12.755765166841066,8.130140135336449,9.867692953057215,0.5644269486377939,1.5436938382889924,9.313850778763936,4.463962428313167,6.666151555497819,0.9691597017788971,10.136128824934758,7.692812148111506,10.953772165510589
TCGA-DB-A64O-01,11.085875003234257,7.861397129637249,9.647526422199853,7.4655541612351755,7.395786022806422,6.808403071359544,7.065925532185774,11.250871887718624,11.557846773864576,6.279133240467248,8.677032480379678,10.484782019001551,7.391311479361381,6.8740161553323045,9.069076995081222,7.618869256275861,5.146476014451078,5.583031604529097,9.077457453541546,4.612818379811202,7.12640919340985,8.366432379479047,8.393734946904454,8.747120159421556,10.211093620299879,6.774443143355945,10.07960224802171,9.399408460872051,10.121194819817925,8.752363585015003,11.335700467296295,9.646588049755358,5.746108495587936,9.114577853762539,10.393873277243788,8.840348040268829,10.656915331965177,4.994511841735396,3.57914393544775,9.546510397297038,10.667593690745457,11.551092846415191,1.0306892040711404,8.085675338428993,8.317957478737844,1.625738061908648,9.8784812040246,8.291787253481841,7.8774835353248935,8.548438166036075,9.060647841051342,10.155447062902722,9.840415709755392,11.445525494367415,9.450844208442238,8.189834440319059,11.386327373814149,10.713572016923223,7.255114515048354,10.304906273149278,11.133538931103095,9.935505273309168,5.288572661742377,7.997159153193053,6.157926928712428,9.62388167286453,7.746975775383869,9.837129131716292,7.469804594520619,9.398293928450519,11.56183427081055,10.276768587655543,6.94900491370446,1.9142583488236715,10.055059098785506,5.773875040824882,0.6054943338525088,9.158687437663172,8.680832783486531,9.734000290144834,10.678652687803163,12.79592203007267,10.808083250873372,9.552534426884916,10.6614563052706,10.740647653566338,10.442262407919955,10.465861647542544,12.458732387645759,8.32969768903328,10.403903895963351,1.3586775713152304,1.3586775713152304,9.126742152758279,3.0533025243383536,7.368727323176107,2.370750169214175,10.050809526974941,8.73127422191852,11.180975171024954
TCGA-DU-8168-01,7.177368706387648,9.716291833944918,6.763315958228138,9.447395087459777,9.931469437765113,5.697251170434365,6.559623350649368,9.779245436517462,10.580328203417812,3.165558254461174,9.191443717416046,10.41124657561715,8.343569050449746,7.840228430622489,10.225393396424156,7.156178157000408,2.9194926396146386,6.217164785102083,6.043407940764439,5.380147599316033,5.723099796700808,8.277389233833272,7.819411448806459,9.786924981891158,9.49458721625481,7.317575416558213,10.147300846979144,10.285447880362494,10.471442840498721,10.029242495825686,11.207870772890612,8.77896219294803,4.705474805357104,9.687861516013317,10.314430186999576,10.350376354429114,10.520783073606252,4.285520588983818,2.874069042459961,9.63947891131288,10.24392477512692,11.793821485166621,0.7685019474342594,9.004901336353159,10.713420541172827,3.375706740723043,9.84472663195438,8.937093052216692,8.693292145668652,9.62883555278314,7.912215122857457,10.241132292514258,10.412756231387668,10.539542606133455,9.041577569990542,8.142757527802912,8.983947547817586,11.287443667001744,5.369222174981378,9.414002727199488,10.780349145255762,9.039650299663796,5.8298470234587745,8.92391959689556,3.5005088961900324,9.614665127236629,10.54837997930756,10.096911980001392,8.37678134613665,8.365275662250754,8.05770640363324,10.858715836198316,4.6924495168378755,3.1857714194253326,9.835129040639636,4.17935976636975,1.1193561770396756,9.688271643374827,9.244266304211882,11.462243975367468,10.786108193622384,12.34281730361048,10.484878567323145,11.887429463592897,9.221143853391698,7.910809998452161,10.561423424194754,11.452499069523608,11.963353605352983,8.717604115160892,8.437312227730121,1.1193561770396756,3.5590879489096934,9.41554911444977,5.748493435658938,7.107944125763425,3.4079373253083944,10.192234858890522,8.263265913512845,11.810211839894558
TCGA-QH-A6XA-01,10.119470569173217,8.039095064139712,9.403065297888286,8.312179129539178,8.569050131891744,5.965721958890074,6.295357529782584,10.383348110167642,11.055286028675154,5.731699173513382,8.676504024590454,10.52461673714502,8.09894216801158,7.4310261702509885,9.556943203585817,5.825381148146897,4.7704220746505,6.9593099678052255,8.838490454225097,5.777661678713216,5.422552592214874,8.711462899940374,8.951887315027472,9.581485890916147,9.95561881588028,7.179306016953799,9.374291817348762,8.723041758024083,10.281012668005431,8.9243627044849,11.060111913746713,9.176273149221856,4.722526135512156,9.728929987796398,10.69936831007552,9.635024444372396,11.755999526610182,5.525796402121699,3.7525024132389597,9.289505285160596,10.86260837939745,13.022148652393383,0.9193782232475795,9.01120237151512,10.134991350686377,1.8772730889255822,9.264634946742571,8.5858796729975,10.04352933615143,8.50324456857064,6.603725735462487,10.577602167628191,9.524138330868498,11.374356651257845,9.002905286683033,8.367731869033397,10.588081584523879,11.518510255897466,7.020012078322093,10.386367794496293,9.69209795644208,9.94554157346143,5.037795114599966,8.001957580647025,1.4763816875672346,10.330403666813181,8.9466846641558,9.881217531140049,6.374976855265178,9.758920903910798,9.613026208588078,10.683591984948178,7.265399387890949,2.2780739834084227,10.093814201475487,5.481298941547565,3.9317019651277856,9.957559886697247,8.890895640978176,10.73337637408694,10.541391708287666,12.15741477328076,10.439056772753245,10.874643065916747,10.337133934354771,11.040710959356991,10.570855182515603,11.227115064419255,12.680123252964274,8.34220537158277,10.215061407711834,0.5316684113151502,0.0,9.201608623586608,5.297352848484379,6.874184649429725,1.8772730889255822,10.183343463598398,8.363834262948536,11.560410317275956
TCGA-E1-A7YW-01,10.052860228092937,6.647177775185734,9.312636814143675,7.554404666085853,9.270331305786357,6.785776772437674,6.08900018936053,11.016472641014888,11.121050833095737,5.566796891932771,8.543385295251456,10.390360729441243,8.04317551118567,8.478065792776349,9.78033257535353,6.861825128745322,4.859144631377326,6.039478405131871,8.987885587325877,6.152801990008562,5.0907179597678,8.751032497864422,9.012477328975995,10.355671977786823,9.6981443200706,7.575406127022252,9.548636985093681,8.612833120427178,10.146744435819445,9.056709238502831,10.755176179266787,8.822063129656312,4.94771290571586,9.691747182600222,10.308369180785377,9.701332282936095,11.680982007500445,6.351665427709666,3.2124448290517393,9.098416399424238,11.267503143240742,12.89238328415788,0.5453753588725591,9.102847063336856,9.907923556046743,1.2498700468224981,8.923825136796005,9.136598481605766,9.342550523269937,8.449912101653226,5.48036207410859,10.181135108450503,9.36483700425817,11.722956872254764,9.57928387733399,9.092358098648324,10.351619716789747,12.412391827577036,7.455920617237845,10.477558946278009,10.730812810856788,9.894873984886845,4.187316438440359,7.986810806728943,1.5046712353857394,10.476889453913865,9.070335118465534,9.758308341218214,5.0907179597678,9.597364310129676,8.49285942581296,10.530170355710888,6.844627939937666,3.2117286890993975,9.873716322464645,4.497727316818842,2.801613954269926,10.216659051411574,8.709411268883192,11.62626385429952,10.458166144023393,12.168922531210969,10.487084631451886,11.057788296537332,10.590874250494624,10.149973919752544,10.385706477639706,11.521494883582232,11.944168587476733,8.43658329687815,9.860230963332077,0.5453753588725591,4.788957103833953,9.691747182600222,5.05128508492068,6.966223951108787,2.0758064263080738,10.322930532305515,9.260639197953983,10.707617102925221
TCGA-DH-5143-01,10.81629457985026,8.51683580891686,8.608133190542391,9.46917250893118,6.936796921124549,5.944150977075626,6.713431883073091,10.739499383384354,10.736024717888926,6.411505903615303,8.806673023118218,9.910223576044631,7.9462875515866696,5.434604877470223,9.901857792207583,7.2834541907711925,4.093999543074044,5.357763115274884,8.998186192865008,5.696235911754886,5.483651349018256,8.460343670953703,8.606750159725161,9.621428653007367,10.129823539879792,7.604914923070203,9.577626712945897,8.972644984550966,10.463088535890202,9.03772374533814,10.906171924450547,8.890919953756494,5.034765954877482,9.792367182679316,10.772252624965809,9.368313943818093,11.66060734783463,6.1727195185726424,3.018616371770565,9.0356695430366,11.377056110365912,13.13692390860126,0.0,9.172596021586523,9.978177464288281,3.5196551217557768,9.100975808623764,6.975888082107629,9.520751453459082,9.919231912016322,7.141676993482978,10.58161863923169,10.065335885478335,11.77492193540114,9.252814424408298,8.422515590503593,10.735075581474076,11.199446538031356,7.293804522372483,10.444427402443683,11.029483530583503,10.44589768306664,3.1749017205847445,7.525168411775653,1.6974624769218742,10.202579707111886,9.680468183106628,10.074869719461566,6.932077711580904,9.508954275222372,9.818887299977689,10.938700107246376,6.061866903106033,1.860843644001106,10.053710071870901,5.643258790357583,6.004209228143629,9.120489581688014,7.989377468420552,9.725764840007907,10.564267168698406,12.490105400344092,10.559985781320929,11.214733350396193,10.458181321943444,9.941893895713513,10.50128079431861,10.983868549054241,12.807105206325062,8.271852829724507,10.42407766640081,0.4582770006958051,1.3193867145441027,9.080198487969186,4.950048422383543,6.0938094488137,3.3711685154984274,10.277937454572175,8.822272223516546,12.00388135098803
TCGA-HT-7873-01,10.230805956059612,7.9670717481563695,9.688604906223627,5.354095956560758,9.207074126092735,5.980534907615541,6.919253069955254,10.2452621177358,11.024058589898676,4.973473519575491,9.121516681482792,10.146581658028573,8.209513314211117,8.650984220280918,9.811318815090672,5.182811457934266,4.558726822975072,7.031710574886863,8.940371744293362,5.06088611714916,5.486286391535129,8.585291202377215,8.991327111618745,10.299809931736869,9.485059062130155,7.506737597839208,9.24489561939308,9.453775386063834,10.14439045276094,9.340430526297414,10.49619078407653,8.694913613918814,5.088883620359921,9.433446485088261,9.908294436105333,9.624891754139178,11.056766739111293,5.2081777713890505,1.2068307371488638,9.395415887459412,11.36565317325537,12.510237522724548,0.7260464564820016,10.321300386007994,10.175981483629872,2.713717806978189,9.248779116522476,8.452467770046372,8.945166390858205,8.150955124709123,4.864314928849622,10.286270580114756,9.28478015373441,11.619627273124447,9.361386101605337,8.685775846167473,10.149222650256778,12.498706325787472,7.303698567005035,9.922309067712732,9.926834124930435,9.939383364719356,6.836455641764989,8.944208676881306,2.200912333252191,10.367450463240733,9.92731886317647,10.1833046277423,6.1198997830419755,10.304294844951233,10.89099061044285,10.548810062516257,7.2886880039327115,3.7545775566037847,9.961795205254178,6.264517665332744,7.805621358767617,9.99083689937631,9.207872358668501,11.603492546433419,10.326513080114058,12.399127023855824,10.135025478984858,11.442261578393113,10.249241357310739,12.940800231913334,10.620685189162051,11.406726917831017,12.404546095609737,9.26113586290963,9.813418067270067,0.9863745260849647,0.9863745260849647,9.37139463344886,4.746210634622029,7.39062383868396,2.200912333252191,10.081595014622913,8.344832934413848,9.97779364900728
TCGA-HT-7858-01,10.784202299350858,8.219201924759268,9.621403925894935,5.0378038982651105,8.949758440055914,6.442205376838752,6.75056497048376,10.463106319405545,11.495179729547996,7.071869906560953,8.781317087814205,9.930255077538982,7.574120435009748,7.769448445204662,9.797204816276281,7.591446797114139,5.743380321719146,7.92788045792476,9.167568429191808,6.320585764218781,5.182020843209472,8.59570915054358,9.192383565765978,9.798448795562123,9.614358144333838,7.55952163960717,9.301689151113901,9.404110568048914,10.403176421774205,9.241684096029758,10.714418802413247,9.084347608298284,4.839380176707226,9.465694752025257,9.86466964509658,9.770831853472032,11.983337884382825,5.776480408653358,1.5452765001312392,8.780058077898374,11.32371018737967,12.907072668012633,0.8217102150346742,9.309012888941288,10.631697096280089,2.5821946818849306,9.169492378538813,8.07883609192147,9.916572631818893,7.952673114267985,5.135534869761189,10.407128374897564,9.41631556374787,11.19337264357968,9.090453596550136,8.484832961882573,11.221002312525844,11.81915434901408,7.983623547020715,10.198268837723646,10.190676460826982,10.171122992757088,6.132412329865122,8.219201924759268,2.4866628932526136,9.988635696787922,9.550086649485271,10.668897922382431,5.4074479305195124,9.385193516559742,9.293772571684567,10.612903873287435,8.068561723148031,2.641939017476073,10.307988781370439,5.446057680212775,5.743380321719146,10.014021586519563,8.945273219553444,10.895917020523354,10.649039038268672,12.231879425169097,10.169201092887626,11.255151347150909,10.38967134485979,10.237743790623469,10.394433861858161,11.689056331869557,12.272779469942119,8.273883230371112,10.123282727894422,1.1051416603234239,0.468531186162872,9.237104533785683,5.753676733402346,7.092298364943729,2.5821946818849306,10.027875180053584,8.55422084076994,10.324488858790302
TCGA-DB-A64X-01,9.437695070701327,8.217026126006687,8.578518368841642,7.182335750488033,8.767355860875746,7.2603428107045165,5.7401828209503405,11.035899062174797,11.449984763696301,5.297580290077971,9.440839275490276,10.138958293088933,8.352308760145561,7.92533486649063,9.580436843814056,7.157067970508429,4.221281633893529,6.250738029409967,7.586079405520236,3.330285897102013,5.455156224092331,8.935189806568689,8.480067562080361,8.992612100129278,10.22376667429545,7.612345863283924,9.549698815895367,9.168558553132,10.756764622642674,8.700717479556447,11.121669297821951,9.69372041824091,5.1414246160702275,9.773202848777172,10.536050762624745,9.489226002758576,11.943046584274937,6.264904188789455,3.9185579736336096,9.317399272165968,10.465759023367342,13.27517809715991,0.0,9.227171876354454,8.966668385772838,0.0,9.131415855392728,9.812574272867625,8.995466145880881,8.905772675057534,6.705864582104441,10.50434171720541,9.396182827505122,11.561796427031178,9.7806672176747,8.798738768137367,10.73187868813447,11.936935390581812,7.2267329701117715,10.4775905155711,9.945437398373507,10.593218736114613,5.695531765021887,8.006801801888688,2.179670279347428,9.828667120612922,6.67771118626068,9.52027471048489,5.6269530417706655,9.274571742127202,10.181785114468306,10.680634409413921,4.844953017544568,1.4246534048984505,10.367288059367207,2.179670279347428,6.767269445513213,9.763189788211303,9.346751281823277,10.607746693130126,10.22680580937907,12.258699344529413,10.512334555151384,10.099285472005409,10.846744179923295,10.676492300477758,10.128829913794752,10.600735278538725,13.409895287351304,8.286252788230296,10.605413308137122,2.009383006266306,2.4696776298171894,10.105242908694116,4.712458217153396,5.72650701008215,0.0,10.416032707095574,8.989752397100348,11.477038560509955
TCGA-IK-8125-01,9.074979267338199,9.45782141866821,8.708450059635954,11.530866823752179,8.288877606454188,6.3822141781326325,6.688857337430723,10.452988035679493,11.520293423701808,4.396659576866823,9.226850474284353,10.110779778957383,8.118282887603744,7.27634963427288,9.53488237340983,7.67750401396122,4.143066832378066,6.970304948657205,7.822258518597071,5.673406606577532,5.496308944824729,8.131015271605069,8.685919830627991,9.546243557317695,9.75751152067739,6.772699901031257,10.001623667677384,9.466030155700953,10.336493839937114,9.41149128587478,11.072144598655798,9.264293162122877,4.143066832378066,9.71363567838801,9.619402739136142,9.927651461509297,10.679493646700152,4.704822177342046,3.8660474441780797,9.397033031083044,10.260217651137125,11.92859768799493,1.1600811680697038,8.534786099495697,10.52154204374262,2.7791966733265796,9.82239683669424,8.173309858091983,8.915363440973556,9.804580865335872,7.096060457195914,10.474117599538575,10.158300163478595,10.719922587809048,8.786158847943764,7.487106845946014,9.71363567838801,11.209925636912407,6.288476690011699,9.876088064743527,11.005475921494654,9.146656240281256,5.702261357293657,8.332354823933805,1.3467016480228557,9.944922704027748,9.915252880195585,10.408467209573006,7.748779873475621,8.880828453216608,9.733126528674376,10.920719140301067,5.4864086849183415,3.0817827313154518,9.786037928232014,6.10656817470311,5.306816342884621,9.635728457643772,8.994324865556507,10.745567693386826,10.695156938106809,12.298010284832637,10.670231963585858,11.31153723021429,9.209729936899597,11.366878692098474,10.374318881648316,10.545576337888232,12.662773503304507,8.928218109478209,9.171581396225658,2.411778740922068,1.1600811680697038,9.111665430757158,4.7175722437011025,6.820762306086551,2.643232810857518,9.981061750628731,8.398511559661806,11.825256593697778
TCGA-HT-7695-01,9.90286542687057,10.0297996033393,7.652461398116164,10.94563645110768,7.9623529409572535,5.488518222369773,7.007066523367785,9.885167847541982,10.708316843019576,4.395405604566331,9.120029689074675,10.339601406002473,8.265685362969409,6.5089942733280814,9.549817005512972,8.051977267142277,4.4297833205085055,6.960797802057547,7.240417375299319,4.388086188537472,5.65031939145447,7.888486949925793,8.42753410326951,9.280511664813027,9.933136040113371,6.919058762856388,9.969006981465165,9.016410516925982,10.313934990422766,8.99432910885501,10.75820380651624,9.244754368450064,5.628286588857373,9.676001300777894,10.534611136815585,9.416358636715026,10.705908114458666,5.707270772932425,4.915496999045667,9.685368162585313,10.538062023638647,11.247945428377681,0.326192164494116,8.472408161093965,10.151299594028444,2.4769519125238966,10.843751497186187,7.562374474390336,9.573552140673435,9.566810398283646,7.394128242136796,10.424387926030562,11.071570359523186,10.478244208926926,8.756051207452103,7.613738642411984,9.725702137509236,11.675237710732794,5.5444915684950455,9.824723945471874,11.722908260206163,9.104831714934543,5.151201273236645,8.194995150235828,0.59215800212536,9.883231163923579,10.180298192089081,10.569235875687587,8.629878591802692,8.490973585818349,10.076314975172355,11.46693040239606,5.2106343324001205,2.0438694075720223,9.705676099495042,6.409154993774026,4.93955100655952,9.506688215899954,8.96825494720871,10.326581501417822,11.108181514591097,12.107588459630012,10.763478053903397,11.361511667909772,9.200237535026437,10.53658409664927,10.500399046600664,10.468459605001492,12.907672163027001,8.623107822526013,9.22714876668464,1.5992701792147852,1.8226485798413214,8.77539464222556,4.559638644922725,6.690067833894503,3.6343725494227206,10.036437532904511,8.44234266238657,12.782783917585046
TCGA-DH-5144-01,7.68209990560337,8.644719744929423,7.532112760515031,9.050258978634096,7.502167474507533,6.997097038865489,6.130823816565111,10.693437298663204,10.516253060933037,4.228356954201049,10.066909355508429,10.029534741831172,8.973221794009769,7.113906738479142,9.864560856148419,7.730256137116546,3.66944635634657,6.595305228549084,7.063535299039021,5.928187901768536,5.513389677596842,8.63180166382449,8.840907555798546,9.501241875769423,9.498084485192805,6.912350469822584,10.003750354911583,9.853732475998116,10.508833482132456,9.578010320874377,11.570895207988864,8.82688274706386,4.852168673484429,10.036328590896334,9.707763754745116,10.094766794032822,10.537322958160093,4.345417666483289,1.369773555863834,9.458348165984871,10.245090232928332,12.404383769511856,0.0,8.678025411261562,10.601397719025279,2.2637255316385496,9.580997723987542,7.57829041105013,10.633693935522638,7.60201288834189,7.632281304407242,10.704437306465875,10.045008636662471,10.71399405461658,8.576907173042045,8.184498507363672,10.150929746184124,10.719968948360949,5.744112646042828,9.383408596078532,9.395255851630191,9.21161700344649,5.715863176842285,8.470098361027476,0.0,9.942817380857026,9.821761866469629,10.210013885096146,5.637955056193329,8.315106529894312,8.567298254208794,10.388333136383448,5.05829051645462,2.234869151705381,10.194102938896137,4.7874324645168675,5.398877054915513,9.433441268759221,9.349039450693247,9.795768083977006,10.33347986427624,12.511822785816515,10.808274025285549,11.839898783903822,9.527358144987344,7.9986067886579315,10.399270446618216,11.809528195406378,12.221842651398502,8.401458105561446,9.172541519554407,1.6861643260613592,0.7081430824746405,9.12911658216713,3.961197309218898,5.8269755126627345,1.536600025635048,10.19019556047953,8.201679924746031,11.345096714297531
TCGA-FG-8188-01,10.795912292271813,7.785898367750138,9.291016404450815,6.251914089386935,8.15741060456215,6.3426667405726675,6.316035290779415,10.32089101058203,11.39140702473449,6.279744282394104,8.468728296012227,10.53177259230203,8.083018123076304,7.306953013243523,9.505570026156388,6.368817229507594,4.629391594080918,7.218651381377451,8.695773245358723,4.2996622813009235,4.916166097183393,8.234567901118737,9.168592147241958,9.705192946371406,9.505570026156388,7.377338089363327,9.602417349659332,8.23764593062579,10.335113513814543,8.89635420312467,10.933670592795814,8.858407211236258,6.1348903723834285,9.575537356014102,10.271500612188527,9.520226379163857,11.762806728207304,5.7626278656250465,1.9887028623432288,8.911257749536468,11.213455066664308,12.458512273705526,0.9924784126674572,9.135973948276966,10.192568010045362,0.0,9.356730138144746,8.242368134687233,9.748990305303778,7.535758268098406,5.75339327209448,10.479296758943583,9.35999284362981,11.718162351255769,9.147348423978737,8.012894896648312,10.691004013883624,11.592497028519338,6.849247451510579,10.148008615501208,9.680177175030217,9.836477575764963,5.860846126473505,8.448497944323815,1.5749249780093444,9.993374052044407,9.35455089464019,10.696176521343766,6.2043031204108265,9.755611840411396,10.2053217616793,10.766696523130445,7.5624385868767225,1.8823691558311588,9.626098318148735,6.093674255432647,7.21385077609579,9.783419492959537,9.09870009616681,10.24409775050128,10.750639831938711,12.414820013163611,10.152362045977197,11.264547338430381,10.113351101029473,10.256405910214614,10.653381806569147,11.290998325538895,12.474274522984084,8.516353239035261,10.005925266437584,1.9887028623432288,0.5799524688312953,9.51535745322131,4.766838947052475,7.440344304800771,2.3098746600367663,10.103236526249594,8.533793033641627,9.734817648978813
TCGA-DB-A75M-01,9.218128485404401,7.356529440095106,9.611921867285714,6.764197512290086,8.641361417625403,6.357497462677019,6.640944780885078,11.01260743032775,10.982142889427783,5.900746075310617,8.843572501789982,10.725956253196212,7.78691452992244,8.051766330838598,9.730032082397795,5.507915123984177,4.126510379882307,6.191722528961704,8.776341565640768,5.7176599741930625,5.900746075310617,8.349072855206897,8.685694563922016,9.868343222663663,9.996433519242059,7.5742990929033285,9.509056050401384,8.275455491265975,10.54906236969437,8.419302917419904,10.442677318934455,8.923761862893091,4.089277797598218,9.563528444781182,10.683845294724527,9.262710561471746,11.491604961501166,6.426824948419958,1.6893886272216598,8.990921401279675,11.409250956103895,13.11264358091414,0.0,9.434603209586726,9.496666664181433,0.0,8.710429355530124,9.207307711567871,8.716547526691114,7.146003451138925,7.543656723821041,10.54678075637946,8.75272049710924,12.064607716246744,9.577881770722499,8.736253764172435,10.858954485764032,12.139378167440112,7.700041534853914,10.202767381894134,9.889481908337155,10.16386688148953,4.443381212762618,7.849495804126086,2.040997605066414,10.744981630505027,8.687253193516218,9.45336221445524,3.956614287557227,9.457021083940214,10.114652287193314,10.313595960387634,6.341750970057621,3.265421892902858,10.03549896055176,4.01179080293944,3.2411842640076167,10.22820168622154,9.433999934753759,10.744233178054257,10.091888488024432,12.442641451779568,10.088943893007798,11.092992022145031,10.974504862977998,12.541218029004288,10.097759709071909,11.151459493728346,13.419771943886232,7.69074881578996,10.364476132689646,1.2234843342667976,1.2234843342667976,9.79000664098493,5.479414896670562,6.20918429741013,1.8758586819094594,10.42970194592922,8.652572896283372,10.473259987419576
TCGA-FG-A60J-01,9.802059250799495,7.8538453586153025,9.257130633444053,11.156237010338339,8.7039845281612,6.018881159335021,6.925910433798798,10.04820430151339,10.828321768935865,5.697873879705483,9.209095815646057,10.17146493250892,8.108442910840843,7.1585955515008965,9.828784043843749,6.018881159335021,4.936708599886361,6.209905599133194,8.408658794822752,5.822459935937421,5.709422986995492,7.409219499835544,8.486250988884109,9.705141269130898,9.959084457165236,7.64113414328707,9.274731765307966,9.045584398094716,10.661081695779144,8.885507865139486,11.088461906322122,9.016819428145787,5.18857499972449,9.553971161573942,10.21399192709818,9.440720946434602,11.162291117139345,4.2435776911398175,3.016799375257228,9.11887879677333,11.305932912322785,12.87304779759136,1.41635335823427,8.876787963601346,10.039650436732604,1.625925048499654,8.69384375388813,8.296336718864083,9.530556744116732,8.21358106882589,5.314935746708101,10.587066586558482,9.530556744116732,11.959811588057791,8.929385360214784,8.671871141635016,10.725409631831685,11.942938491276779,7.291342016381994,10.40169786950265,10.479018910197853,10.24110547163047,4.45349782515455,7.6856745930143555,1.8088792512401461,10.37994699310956,9.228313418312494,9.663435532193866,6.126196472173698,9.856971532832059,10.339632803046003,10.950714956524445,6.905969381221869,3.2158804666123104,10.113239218441231,6.895895138986486,1.625925048499654,9.747777260014033,9.03873301775553,11.06026535535302,10.391645618852232,12.315166406811601,10.224596723482893,11.340701787482162,10.51422722267646,11.5394445101216,10.31006354422498,11.12423151349133,13.177370185886652,7.521729982033749,10.029318289445726,0.8754655448547094,3.016799375257228,9.3290933155275,5.138183725239992,6.774676382859696,0.8754655448547094,10.318573877585607,8.58361460447873,11.144583939574954
