,cnv_MIR371A,cnv_SNRNP70,cnv_CD68,cnv_UGT1A4,cnv_MIR490,cnv_SNORA78,cnv_BBOX1,cnv_IGFL1,cnv_KCNK4,cnv_OR9Q2,cnv_CPA1,cnv_ZNF568,cnv_ZMYM4,cnv_TRIM34,cnv_MIR4686,cnv_SLX1B,cnv_OR51F2,cnv_C1orf162,cnv_HMGXB4,cnv_OSBP2,cnv_ZBTB8A,cnv_PRLH,cnv_MIR4632,cnv_CLCNKB,cnv_GTPBP1,cnv_ACR,cnv_ARL2-SNX15,cnv_FKRP,cnv_STX11,cnv_UGT1A7,cnv_HOOK1,cnv_RPS5,cnv_ALG6,cnv_CYP2G1P,cnv_TTC4,cnv_SMDT1,cnv_ZNF534,cnv_SNX9,cnv_KDM6B,cnv_RER1,cnv_ZNF226,cnv_ZC3H12A,cnv_BRSK2,cnv_ARHGEF17,cnv_ZNF587B,cnv_MIR518A2,cnv_PGM1,cnv_CD53,cnv_H2AFY2,cnv_LCOR,cnv_HIF1AN,cnv_FBXO6,cnv_SLC35G6,cnv_ZDHHC18,cnv_ZNF114,cnv_INSC,cnv_ADK,cnv_MDFIC,cnv_PPIAL4A,cnv_PPP2R2D,cnv_MIR526A2,cnv_PDCD5,cnv_ZIK1,cnv_GRM1,cnv_MKLN1,cnv_OPN4,cnv_SMPD1,cnv_SLC35C1,cnv_ADAMTSL1,cnv_NRG3,cnv_AHCYL2,cnv_MIR519E,cnv_ALDH3B1,cnv_EHD2,cnv_LOC400752,cnv_PLEKHG1,cnv_SFXN3,cnv_HDAC1,cnv_CDKN2B-AS1,cnv_NADSYN1,cnv_MIR4678,cnv_ZNF17,cnv_CFAP57,cnv_AFDN,cnv_CA6,cnv_AS3MT,cnv_SEZ6L,cnv_IFI44L,cnv_MIR4520-2,cnv_LOC100287482,cnv_OR10A4,cnv_SELENON,cnv_FABP5P3,cnv_FERMT3,cnv_RPF2,cnv_SART1,cnv_CALM3,cnv_HMX3,cnv_FAAH,cnv_TMEM45A
TCGA-S9-A7J0-01,0.6113836618140784,0.6455734771384893,0.6947985513552948,0.6770446549727895,0.4079251731825618,0.34396191727560654,0.5561971027676909,0.6385805600942084,0.5853866220419638,0.5844098794935956,0.4090109977053826,0.6560633469181852,0.7059917101745428,0.5082362739811832,0.5053371604712937,0.4951481129339039,0.4951233626843397,0.7088866275180975,0.5182064652172935,0.5071558895576228,0.7377728163205856,0.7205701916674481,0.7263045069561632,0.7848363859495677,0.5110443701366175,0.5394809569190867,0.5259604488756366,0.6427229356407835,0.6698040134894905,0.6772116486927271,0.7103089001251219,0.6308741669356708,0.71023254741306,0.7234485186584318,0.7129179688264038,0.5075999127290192,0.7984231617614955,0.6751903680767133,0.6961357227666406,0.7474985652567753,0.6411763110521551,0.7060902484882214,0.4979522285933561,0.4194265501211693,0.629317652267851,0.8085389826923621,0.71023254741306,0.7084033693466171,0.578687522385754,0.39175849295313314,0.5511904028562077,0.7262190585667316,0.5872637417603515,0.727749587806978,0.6439897391636553,0.5425557481843344,0.5769733624286021,0.2698162551947569,0.5574268460512068,0.5121044075219522,0.6381108944257875,0.6861124368824358,0.6284471361296279,0.6696944144147273,0.41108004043220964,0.7284754043457893,0.5115476648965107,0.5662706539399898,0.5337412974192528,0.5665757608011363,0.405815741940532,0.6374298180321878,0.4739942689769982,0.6457445334351191,0.7099389531094751,0.6776660857575011,0.5493089582867677,0.7377728163205856,0.7287899966240876,0.4281821967428084,0.556119422137712,0.6274246603708189,0.7092518627802932,0.7118436849974249,0.7209280040301994,0.24835958066983416,0.5128251611525846,0.6867471290703218,0.6058558608755802,0.40574044197618436,0.5140340273186135,0.730254073924827,0.412642655096603,0.5853866220419638,0.6531409631646455,0.523899569091181,0.5719964881937599,0.5141146911036123,0.7066695157194743,0.6853957273558344
TCGA-QH-A6X4-01,0.17103775106889602,0.1796721683887914,0.776002437283843,0.7588579128597643,0.3395512459026839,0.42673637481814175,0.6847984378197277,0.17207509627410203,0.6617458976204501,0.6627464667568302,0.3411195717596791,0.18505968707221396,0.2184934087411124,0.6787118363184819,0.6879100229060394,0.5817627744316081,0.6760403357090978,0.2097864453536665,0.6627504683187253,0.650295439094489,0.23001457497959088,0.8154954407499493,0.2276911983567569,0.6427359696982758,0.6566280513015701,0.6711341506915943,0.6079854602880526,0.1831920350256143,0.7738736317000832,0.7594385095665788,0.2109998937198503,0.17834340494808612,0.2120646391957883,0.43692052280198224,0.22010662549907767,0.6631053948856661,0.5417293920311064,0.7702541712726113,0.7762338828501442,0.27092426545585147,0.17443714539845723,0.21792017276893355,0.6783643143238455,0.4973710067434933,0.17583593974372655,0.5711014160707507,0.2120646391957883,0.2097300903871755,0.7471978929968304,0.5245164168265846,0.7390968902915098,0.22770121963685114,0.6917496364931457,0.23291627265488496,0.17928032474329703,0.6822115871771275,0.7468210995443957,0.19381948892248715,0.493449358095168,0.7406797362076913,0.17869019259769697,0.19167413915086706,0.17551790391740293,0.7739119133934811,0.3390366074440367,0.8443207236044473,0.6801609086134963,0.6859585126987618,0.6064888345375606,0.7437000141570301,0.33654388247426775,0.1782243720333397,0.5505590183307294,0.1811496278237885,0.21552282603783574,0.7740339641159358,0.738562194175522,0.23001457497959088,0.8360643963631006,0.505411257052878,0.7394530692221977,0.1739582687687479,0.2163746570375071,0.7991011668196542,0.2589612146641094,0.33065537278884916,0.6482993827797422,0.20824006064766276,0.7142862722837928,0.3373095869687523,0.6800097806593391,0.23256162245289516,0.3458089478576181,0.6617458976204501,0.7404181169442229,0.6086539496931891,0.16170990354978518,0.7412986200265761,0.21408254341819138,0.7615317591545798
TCGA-HT-A614-01,0.5688951882819818,0.6005965743871329,0.7167738506319877,0.6987826968423708,0.40680834859432885,0.35998381621100534,0.5814711092088853,0.5934082299511779,0.6048608973359123,0.6041059112245165,0.40797147196168715,0.6106537573608403,0.6594638111143626,0.5377288937328532,0.5362403700639172,0.5142811681466877,0.5256476980408405,0.6610079117718306,0.5447411315462087,0.5333274031623945,0.6893540027266147,0.7446542904285041,0.6787895913762695,0.7814130953344306,0.5375792217210766,0.5648309291464073,0.5450785965161811,0.5984656650208285,0.6941038392040597,0.6990025778265971,0.6624298623185966,0.5872550415139204,0.6624900172677791,0.7015034878496951,0.6658695329392608,0.5352730050601803,0.7813949044976721,0.6984966065809617,0.7180008642075542,0.7030170671054362,0.5960212011622646,0.6594829245340962,0.5284651068425139,0.436186365761168,0.585556397614282,0.7940140009251065,0.6624900172677791,0.6605677616643518,0.609176343602845,0.4146553063407946,0.5835408011415332,0.6787141795217189,0.6101685791809784,0.6807165984726581,0.599129086032217,0.5689262788526643,0.6075937226156561,0.265360314477072,0.5594588750611763,0.5486832062802284,0.5937861792886376,0.6383981019838604,0.5847373783866435,0.6940101850448807,0.40957518128497666,0.755225066046107,0.5408732988985198,0.5906443001721682,0.5518749688492262,0.597893062420815,0.40455351120283717,0.5931191801854291,0.4915428930610854,0.6009284392876967,0.6626444970832408,0.7011732061084357,0.5817890997388564,0.6893540027266147,0.7545098002548507,0.44500890332088705,0.5880037283738263,0.583632110325978,0.662131277453007,0.7348487174073043,0.6777458435574518,0.2626496665221954,0.5381699721654186,0.640968399123514,0.6295627423966899,0.4045784860289727,0.5430845886777208,0.6829195544757144,0.4117944917793658,0.6048608973359123,0.6751204913299325,0.5433113385013888,0.5324495127363525,0.5505606087818938,0.6595387738551742,0.7065941873601342
TCGA-HT-7605-01,0.21079811376148092,0.2217338905713404,0.7725001493504774,0.7552204147275924,0.34720938385291156,0.42143872209890365,0.6766712330786718,0.2141542265588751,0.6581302435990946,0.6589606621902624,0.34874246983042884,0.22759827020494788,0.2626495295545596,0.6668519329696561,0.6750237207622658,0.5768606859530213,0.6632442054869311,0.25492747414760547,0.6531085473045847,0.6407186740910106,0.276017355687057,0.8109667810679284,0.272874078446826,0.6583532133427416,0.6468651328953424,0.6626722000326168,0.6036136975029122,0.22470697948212515,0.7683387426648565,0.7557671812563009,0.25616514825728154,0.21921618234033632,0.25713401176784817,0.4643364711015345,0.26474034296728244,0.6524955995234878,0.5670035341592321,0.7654986929261561,0.7728304955270121,0.31436280459792265,0.21654814929123847,0.26213299427022513,0.66562386387527,0.49283556925167626,0.21678093797432008,0.5948116221430343,0.25713401176784817,0.25483309174386815,0.7358366186960579,0.5152613951578967,0.7259815830440278,0.2728757028329941,0.6857884421266821,0.27778958789735164,0.2212347638852491,0.6730943281006402,0.735339746370226,0.20146072302215798,0.501448509446983,0.723974721857492,0.22017403917355835,0.2363169176924858,0.21641252618598228,0.7683641256609696,0.3470168773858678,0.8380783635749931,0.6684726023022005,0.6786252188099888,0.6029305789269371,0.7315602410796299,0.34426718087734537,0.21968696971768736,0.5463978697693535,0.22310280395123103,0.26027674945522045,0.7691810647813533,0.7253252293320198,0.276017355687057,0.8305409889060618,0.5009772293999982,0.7267439251158966,0.21489300671267322,0.2609965007167838,0.7951729792643627,0.30105096323719355,0.32494438040824747,0.6393911598010802,0.2515522667381614,0.7080830633910182,0.34496212885667016,0.6685540471904823,0.2776861501869613,0.3533605293339558,0.6581302435990946,0.7362098763939459,0.6040439409230496,0.1987672395295749,0.7247196120136103,0.2586678448717297,0.758409100452804
TCGA-DU-7008-01,0.5744948773726118,0.6065362926486122,0.7063311137756864,0.6885292336463449,0.4040305931241225,0.35358390892560726,0.5712738901768785,0.5994468922627527,0.5958330976149702,0.5950323579419602,0.40516712155835344,0.6166186744828839,0.6653235454464402,0.526880575901025,0.5250762780208363,0.5060085613712739,0.5146504724999668,0.6671691538494188,0.5345259374796549,0.5232815610118094,0.6954288197042281,0.7335147581826448,0.6847337988140899,0.7763736469992695,0.5274174438056707,0.5547403143863462,0.5365795612402178,0.6042545241602388,0.6832916419840056,0.688735217452337,0.6685805650768386,0.5929796992899858,0.6686086372062253,0.7013526761030581,0.671802080009173,0.5248646697030286,0.7795083586902102,0.6878818705367491,0.7075744960651422,0.7080774785120117,0.6020363687525687,0.6653609218400858,0.5174495061742203,0.42904665292237437,0.5913266712062824,0.7914531614342097,0.6686086372062253,0.6667222994713682,0.5975638600041262,0.40625414300210144,0.5716882752196323,0.6846566240298421,0.600306174699071,0.6865347421536986,0.6050528188819502,0.5585685943277957,0.5959625698969587,0.2644121731559334,0.5548119767575417,0.5361109954990293,0.5996255971529885,0.6446900188127679,0.590501831722451,0.6831949918750794,0.40686669492947725,0.7433889216064337,0.5300402067765669,0.5805872554129882,0.543553342022813,0.5861728121963106,0.40182628255894876,0.5989603145506127,0.48380718343664686,0.6068284151738517,0.6686581288205216,0.6904919393115676,0.569919582927333,0.6954288197042281,0.742917650475808,0.43778783480642264,0.5762259000704788,0.589423999776334,0.668108447867525,0.7240324365111491,0.6826937845960428,0.25737762070936254,0.5282795604589853,0.6467925800960003,0.6193697100191395,0.40182783363946606,0.5322987350493993,0.6887911300174516,0.4089172593249758,0.5958330976149702,0.6649876902038064,0.5347574518094498,0.5376395931754846,0.5380051777808038,0.6655376492927693,0.6964074571663659
TCGA-HT-7881-01,0.3667609483659005,0.3867476543838962,0.7439558654279247,0.7264557644546429,0.37151023129182376,0.3922446026834794,0.6313200648398097,0.3793798698011223,0.6312706688553993,0.6314012327896615,0.37287289489496794,0.39442011166474644,0.4353207381548734,0.6066723758262369,0.6105632405413784,0.5463484370038858,0.5993668543969979,0.4317043204013163,0.6021065092976178,0.5902105801523929,0.4558652613573515,0.7775746585849176,0.4494833383098086,0.7088403747639782,0.5954933244089239,0.6162367678345031,0.5747335812872648,0.3874660645730991,0.7316976276850667,0.7268562389489648,0.43301626028943047,0.37949536900667874,0.4335813714244916,0.5659070720363709,0.4392932173719507,0.5976124348247264,0.6580386096732151,0.732045370345808,0.7446777872506389,0.4831801317116659,0.381857175170002,0.4350419097366155,0.6019259060938039,0.46537060411796893,0.37739616268487486,0.6790363762400484,0.4335813714244916,0.43145876571010194,0.6763712724478821,0.4683954551933476,0.6596463185863721,0.4494511616464078,0.6489778936033392,0.45306183629940394,0.3858263986156886,0.6238283056113224,0.6754007665373455,0.22842154334298065,0.5242339736839947,0.6432399277386067,0.38289289713581565,0.41143823112462047,0.3768320442541946,0.7316706595826171,0.3726168790817845,0.7972866337162815,0.6089528406597629,0.6364304304838093,0.5773350134590322,0.6690439671145214,0.368885159558549,0.38232948525136035,0.5194357027534106,0.38765439524862844,0.43539661284737824,0.7352670118331298,0.6585129669698766,0.4558652613573515,0.7927818200220033,0.4737677282882776,0.6620278998110409,0.37550230271931573,0.4355716940510126,0.7644914472081076,0.464692877350936,0.2958939614309548,0.5915966565197451,0.4210371231591073,0.6698818950866579,0.3692825315902022,0.6099681231168005,0.45397066156024274,0.37711769760596614,0.6312706688553993,0.7055056305537466,0.5741975936847855,0.3440842156014713,0.6444776484520831,0.4331396577215624,0.731655350340935
TCGA-S9-A6U1-01,0.542040148248907,0.5721881298343466,0.7185234271830581,0.70063649370603,0.401397137203274,0.36321195694650554,0.5863999812832076,0.564994001169563,0.6067756274105567,0.6061342158127178,0.40258272320038796,0.5819206325805694,0.6296175505642377,0.5451711508733801,0.5443652801428488,0.5171227530873052,0.5337212480680095,0.6305065006588765,0.5507051706453607,0.5392573504907465,0.6582576812678421,0.7470629133752309,0.6482461120119901,0.7704167162239521,0.5436293469778463,0.5699954142913919,0.5475433461940662,0.5704219543396861,0.6972211295786456,0.7008786589705034,0.631911224914251,0.5596466892395303,0.6320349905018483,0.6827377716388382,0.6357010364882818,0.5418872500003326,0.7639870313142447,0.701092894302036,0.7196837921210812,0.6736122497205612,0.5675837118344825,0.6295990033208443,0.536499426485623,0.4388472441988775,0.5579014600462974,0.7776343370516512,0.6320349905018483,0.6300919516439388,0.616230160533321,0.4204669536240451,0.5917797638801948,0.648176335680115,0.6136363218184384,0.6503771008932289,0.5707930486122127,0.5745225538856723,0.6147285346938953,0.26007393440375787,0.553698648535331,0.5593334817186475,0.565766873909338,0.6082456541349085,0.557116544772839,0.6971361144782127,0.4039478743981276,0.7587629765439213,0.5481991020198641,0.5950387029491356,0.5537941476502231,0.6054728108865847,0.39910084884680846,0.5651145183124701,0.49391080839461843,0.572591795215564,0.6323987825324151,0.7038320247940525,0.5901102415893921,0.6582576812678421,0.757570950755721,0.44759536658918614,0.5959694425096371,0.5559855304249424,0.6319736668665377,0.7368665442890789,0.6492568266240571,0.26623041294805627,0.5436521646470781,0.611697294390096,0.6331755888222661,0.3991727810165992,0.5502542035483194,0.6524114999089388,0.4064500216987786,0.6067756274105567,0.6773722264757799,0.5459356863641903,0.5074183668335812,0.5611257168861489,0.629407507013018,0.7080998926248578
TCGA-DU-5849-01,0.250637098912582,0.2638907750936621,0.7614957377026278,0.7442374552483796,0.3519776204709156,0.4118714396144499,0.6617083956830652,0.2564012437124402,0.6480901767630955,0.6487336932163067,0.353459101042071,0.27020134887552555,0.30662249455298407,0.6480545485067021,0.655068923334543,0.5662370311372937,0.6434958961768817,0.3000099339455714,0.6367751615819718,0.6245712375020033,0.32180673746430216,0.7985179479199176,0.31783053446198467,0.6685480810548566,0.6304635874880701,0.6474897774008007,0.5932945777721351,0.2662603696520433,0.755235036238369,0.7447434448327909,0.30126137193425256,0.26014590200462406,0.3021201677136006,0.48878431979671566,0.3091960299409759,0.635149614284567,0.5882250051177291,0.7532419990634512,0.7619270181321801,0.3570907510648509,0.2588060222814845,0.30617051435745934,0.6459115946387742,0.4833938277982847,0.25780972253210244,0.6141240284263096,0.3021201677136006,0.2998764329448675,0.7169102819517872,0.5006411802901025,0.7053030096021767,0.31782330816174287,0.6730183189406292,0.3223737433134216,0.2632834932358164,0.6571236360279116,0.7162917691914786,0.20759210979622866,0.5051141819284449,0.699538037295702,0.26173765645670466,0.28105144453118724,0.2573917952738714,0.7552466065979748,0.35212588846132553,0.8235694815038517,0.6498404184710312,0.6644792287617654,0.5934739119738758,0.7118552778811481,0.3491318567021693,0.2612328435809608,0.5368424678335044,0.26513250507588476,0.3049012098983493,0.7567869739165963,0.7045248653590838,0.32180673746430216,0.8168600108866878,0.49156505195054034,0.7064854975666595,0.25592888302841693,0.30547516605431724,0.7835056116931549,0.3424858255613846,0.3158564404996089,0.6239597477183805,0.294742400359367,0.6948470534608642,0.3497457694896015,0.6501658071560272,0.3225356139469011,0.35795836541249915,0.6480901767630955,0.7248064967146105,0.5934700599238979,0.23587606285093454,0.7004084549085048,0.303130123616923,0.7479376480705112
TCGA-HT-7611-01,0.5684038793255042,0.6000749049036084,0.7180194431609213,0.7000047868041449,0.40717972129691715,0.36073249508758115,0.5826654708735746,0.592874685034697,0.6059349775733919,0.6051847271458768,0.40834589415459355,0.6101312659905692,0.6589615714253462,0.5389845330812553,0.5375293829685265,0.5152579918577895,0.5269169668660613,0.6604738290781469,0.5459306035291782,0.5344967140960402,0.6888343814189783,0.7459792999819884,0.6782819306883332,0.7820948818818504,0.5387616746853384,0.5660108479105043,0.5460852547417148,0.5979596764932861,0.6953846017721291,0.7002261894294507,0.6618971661606341,0.586753817331308,0.6619607510451428,0.7016495292357636,0.6653607210396705,0.5364813042472565,0.781740709971557,0.699757141277525,0.7192449397977108,0.7026080736910606,0.5954906439929571,0.6589787422582642,0.5297368557408897,0.43702799773799206,0.5850499978312015,0.7944339980732114,0.6619607510451428,0.6600343118385467,0.6105266509114223,0.4156273710919777,0.5849119380846876,0.6782066927221467,0.611332579446981,0.6802227283401533,0.5986088480884235,0.5701354157081221,0.6089457261125318,0.2655105142296661,0.560057708481301,0.5501245756267532,0.5932739361634881,0.6378459053857501,0.5842314470748637,0.6952912495138224,0.4099396851972318,0.7566262660639749,0.5421278983519306,0.5918254242282301,0.5528639813764095,0.5992527629880107,0.4049190819323768,0.5926066305696557,0.49245829143934233,0.6004110662933615,0.6621264471713285,0.7024413263205719,0.5831617227094535,0.6888343814189783,0.7558848673399341,0.44586083926312653,0.5893677323006744,0.5831230506055216,0.6616170178241594,0.7361374641226569,0.6773441530306634,0.2632601253713428,0.5393236174178648,0.6404665213228725,0.6307655680766859,0.40494655745280483,0.5443345640266848,0.6824203987208698,0.41217738869347886,0.6059349775733919,0.6763253393705737,0.544323514342765,0.5319950997980651,0.5520005378863034,0.6590217209840216,0.7078106134294876
TCGA-R8-A6MO-01,0.20367761584921815,0.21422022445382166,0.7612670223194145,0.7442598260822842,0.3412410067697167,0.41564780616618796,0.6673354819036885,0.20675246708653583,0.6486231336947746,0.6494580485879498,0.3427546172946297,0.2199491862941848,0.2543138257256009,0.6580351690141016,0.6661866657517455,0.5687001609414394,0.6545747775765708,0.24660945101316728,0.6442769292822088,0.6320663256767156,0.26729730745291846,0.799259155487779,0.26428281701248607,0.646927207428583,0.6381391722573378,0.6535796736180626,0.5949992504678098,0.2172031962349301,0.7573704492765065,0.7448017644541626,0.2478261560824426,0.21185867995027577,0.24879004323440163,0.45464419682042995,0.25632572442713686,0.6437695694038956,0.5559853112851159,0.7544953523201801,0.7615825654020277,0.3053232430375785,0.20910732365406576,0.25379938749583764,0.6569132126224595,0.4858982991347982,0.20945275370524016,0.5835322424153664,0.24879004323440163,0.24652027111341768,0.7259359182179702,0.5084579588222538,0.7164033349410908,0.2642852533561687,0.6761002686505337,0.26915546112803834,0.213739266226636,0.6639108119483007,0.7254584549878309,0.1976792113182214,0.4931336904927853,0.7147840889413379,0.212741314711891,0.2283275436684443,0.20909488277615057,0.7573967363912628,0.34101930289820676,0.8261349398990806,0.659614449284866,0.6691811001770889,0.5942453502850582,0.7218011922289362,0.338336425847008,0.21226366413669898,0.538620271995713,0.2155794249186007,0.251917080478425,0.7581322179883626,0.715768938635893,0.26729730745291846,0.8186389655982503,0.49390779273941704,0.7171137944347225,0.2075941497372127,0.2526391954898997,0.7836423414692784,0.29234532005538283,0.320641353378243,0.6306921292824234,0.24346699404390837,0.6980847350215551,0.3390280017929315,0.6596715093569191,0.2690285540439992,0.347310542086685,0.6486231336947746,0.725591153766434,0.5954467720913957,0.19209633355483363,0.7155052611558942,0.2503490922594783,0.74734942761058
