GeneSymbol
TP53
IDH1
IDH2
EGFR
PTEN
NF1
ERBB2
BRAF
FGFR1
MDM2
KRAS
CTNNB1
PPARG
PIK3CA
BCL2
CCND1
IGF1
MMP2
CDKN2A
MGMT
BRCA2
TERT
PDGFRA
PTPN11
CDK4
KIT
MYC
H3-3A
ATM
GFAP
PDGFRB
H19
MEG3
LDLR
VEGFA
HRAS
ESR1
ATRX
TNF
RB1
PDGFB
FASLG
MIR21
IL6
MSH2
FGFR3
AKT1
H3C1
CDH1
IFNG
MMP9
TSC1
TSC2
BRCA1
CHEK2
POT1
MLH1
MIR34A
MIR221
ALB
MKI67
PMS2
APOE
CDKN1A
MIR222
EGF
HMGA2
MSH6
AKT3
NBN
IGF2
GNRH1
VIM
MAPK1
NOTCH1
GLI1
FGF2
MIR17
PRKCD
MIR10B
NF2
GJA1
LRP5
BAX
MIR210
S100B
IL2
MTOR
CCND2
NES
UGT1A1
SOX10
LPL
HLA-DRB1
IL10
MIR146B
LRP1
STAT3
PCNA
FAS
EZH2
NKX2-1
SEMA5A
ACE
MIR20A
IL1B
ENO2
APC
HLA-DQB1
GNRHR
MUC1
CRP
MET
MTHFR
MRE11
SERPINC1
CDKN2B
MYB
F2
DMBT1
INS
MIR15B
TGFB1
FGFR2
IGF1R
PRKCA
LZTR1
CDKN2B-AS1
CDKN1B
SYP
CREB3L1
MIR184
PGR
CD40LG
JAK2
HOTAIR
SUZ12
MIR15A
EZR
CASP3
WT1
PTGS2
SOS1
MIR19A
SMARCB1
LGI1
POMC
PPM1D
TGFBR2
KMT2A
TGFB2
PLAU
MALAT1
OLIG2
CXCL8
MIR296
GMNN
CALR
BIRC5
TERC
HOXB13
TP63
HIF1A
MIR181A2
SOX2
ACTC1
ERCC1
SRC
CIC
NRAS
BRIP1
MIR25
ELN
LIG4
MMP14
CSF3
RAF1
SLC2A1
BSG
SST
UFD1
CD44
SHBG
F3
FLT1
TWIST1
SERPINE1
CFH
EPO
CD34
LRIG2
CDK6
TNC
RELA
MBP
E2F1
LEP
TET2
SPARC
MBL2
AKT2
BMP6
GAS5
SMAD4
PAX3
CD36
NEAT1
PIK3R1
IL4
PVT1
KCTD1
MEN1
MAP2K2
PAX6
CYP19A1
UCA1
HULC
GSTP1
STAT6
ABCB1
ITGB3
CCL2
ESR2
AR
PARP1
PROM1
NCAM1
PCSK9
TNFSF10
IFNA1
GSTM1
HFE
TG
SOX9
MYCN
KDR
TGFA
ACVR1
IL1A
SPP1
ELANE
XRCC4
CDK2
MIR145
TP73
IL1RN
KNG1
CXCR4
SETBP1
CDKN1C
GSTT1
SHH
SNCA
LMNA
HPRT1
PLAT
CASP8
PLAUR
G6PD
CCNA2
THPO
NOS2
RET
LRP6
NPM1
GLIPR1
ANXA5
H3C11
CCAT2
FOXO1
HP
TFRC
CREBBP
JUN
SERPINF1
EPOR
RARB
EDN1
CSF2
BCL2L1
TIMP1
CHGA
ACKR3
MECP2
EPCAM
ABL1
CTSD
ZFAS1
MAPK8
GJB2
BMP4
GH1
VDR
CCAT1
MIR223
GATA1
DNMT3B
CASC2
BDNF
CEBPA
SPRED1
SPRY4-IT1
DNMT1
TBK1
STAT5B
MAPT
MPO
HOXA11-AS
TYMS
ZEB1-AS1
RASA2
NGF
CXCL12
FAP
DNMT3A
THBS1
TP73-AS1
GLI3
ACHE
MAPK3
TNFRSF11B
MIR155
IGFBP2
IL3
SPRY4
HAGLR
IL13
CRNDE
DES
SOD1
RAD51
XIAP
NFKB1
PTK2
HAMP
CAT
COMT
XDH
TFAP2A
CDK1
GCH1
IGFBP3
VWF
DAPK1
CSF1
HMGCR
MIR10A
FUS
CD55
ACSL5
LRPAP1
HOTTIP
FOS
SDHD
PEG3
CYTOR
MIR140
POLE
MN1
IFNA2
FOXP3
CASP9
MMP1
MMP7
MIR203A
MIR328
TTR
ABCC1
BMI1
AQP1
NFKBIA
MIR31
APP
HGF
PLG
CAV1
MIR205
ERCC2
H3-3B
RUNX1
CLCN5
BCL6
FABP7
CD274
SEMA3A
E2F3
KITLG
ASXL1
TLR4
CDH2
PRDM16
ITGA2B
SERPINA3
BGLAP
GDNF
CA2
MIIP
GGT1
DKK1
FCER2
PLA2G6
SETD2
MMP3
BTK
HNF1B
BCR
NOS3
SP7
SDHB
IL2RA
HDAC1
YAP1
TKT
ABCG2
NLRP3
GLI2
STAT1
HSPG2
GATA2
TIMP2
MIR130B
ACP1
TYR
HOXA11
PANTR1
CFLAR
CHEK1
ICAM1
MIR127
PLXNB3
BMPR1A
INSR
LUCAT1
DLK1
MAGED4B
RASSF1
MAP2K1
TF
EEF1A2
CTNNA1
LGALS3
PRL
TOP1
RAC1
PNP
FLNA
PMS1
NUMA1
ALK
BPTF
GTF2I
MIR133B
COL1A1
SAMD9
KLK3
PON1
SKI
TNFRSF10A
TNFSF11
SCN1A
HMOX1
ETS1
MIR214
APRT
LPA
SELE
TYMP
IL18
FN1
MIR143
PPARA
CDKN2C
NTRK1
F5
GSK3B
IFNB1
DDIT3
KISS1
CCND3
EDNRA
ALPP
PITX2
HSPB1
MIR126
MME
PIK3CG
SP1
CYCS
ADA
PTPRZ1
KIAA1549
MAPK14
ACTA1
RUNX2
H2AX
RECQL4
ERBB3
SERPINH1
RTEL1
PCAT29
